,Nombre,Empresas
0,HERNAN ASTABURUAGA,BIHOTZ SPA
1,CAMILO DANIEL CESPEDES,TURISMO Y TRANSPORTE TIERRA DE HUMOS SPA
2,MÓNICA ELIANA DEL CARMEN NEIRA,SOCIEDAD COMERCIAL COLECTIVOS QUILPUE LTDA.
3,MÓNICA ELIANA DEL CARMEN NEIRA,REPUESTOS NEIRA
4,MÓNICA ELIANA DEL CARMEN NEIRA,TRANSPORTES QUILPUE LTDA
5,MÓNICA ELIANA DEL CARMEN NEIRA,IMOBILIARIA DUHART LIMITADA
6,MARÍA CAROLINA BLANCA MARINA CORTI,C&H COMUNICACIONES LIMITADA
7,CRISTIAN AMADOR PINTO,SOCIEDAD AGRICOLA COMECIAL PINTO TORRES & COMPAÑÍA LIMITADA
8,CRISTIAN AMADOR PINTO,CRUZADOS SADP 
9,CLAUDIO IVAN CARCAMO,CARCAMO Y RAMIREZ CONSULTORES LIMITADA 
10,CLAUDIO IVAN CARCAMO,C & S CONSULTORES Y ASESORIA TECNICA SPA
11,DANIEL ADOLFO REYES,GYR CONSTRUCCIONES SPA
12,DANIEL ADOLFO REYES,OLIMPO DEPORTIVO SPA
13,GABRIEL FRANCISCO ACUÑA,TRANSPORTES SAN SEBASTIAN
14,CRISTOPHER ERASMO HIDALGO,COMERCIAL Y SERVICIOS R Y H LIMITADA
15,ROBERTO ENRIQUE ROJAS,COMUNIDAD JIMENEZ Y TAPIA
16,GONZALO EDUARDO  DANTAGNAN ,AXIONA CONSULTORES SOCIEDAD POR ACCIONES
17,HUGO BOZA,SOCIEDAD DE PRESTACIONES MÉDICAS Y DE ENFERMERIA LIMITADA. PRESTACIONES LIMITADA
18,FERNANDO MARCELO HECKMANN,CORPORACIÓN EDUCACIONAL PAILLAIMO
19,BARTOLOME REUS,INVERSIONES ANGOSTURA LIMITADA
20,BARTOLOME REUS,DEMOSLE SPA
21,CARLOS PATRICIO CISTERNA,CONSTRUCTORA CARLOS CISTERNA PAVEZ Y CIA LIMITADA
22,DANIEL PACHECO,AUDIO DANIEL ALBERTO PACHECO PONCE E.I.R.L
23,CONSUELO DEL PILAR REQUENA,MCM PROYECTOS SPA
24,CHRISTIAN ARIEL GALLARDO,ADN CONSULTORES SPA
25,CHRISTIAN ARIEL GALLARDO,"SLABOSZ, GALLARDO Y HERRERA LIMITADA"
26,CHRISTIAN ARIEL GALLARDO,OTWAY ARQUITECTURA Y CONSTRUCCION LIMITADA
