"Declaracion","identificadorFuente","FechaDeclaracion","NombreDeclarante","ApellidoPaternoDeclarante","ApellidoMaternoDeclarante","Institucion","TipoDeclaracion","Cargo","CargoCalculado"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_003428bdac0513507d378d8514c20a43",1221408,2024-04-07 00:00:00,"MARIA JESUS","MORALES","ALICERA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_166f7eec813de5e8d216dfa13a630be6",1223028,2024-04-09 00:00:00,"EMILIANO","GUERRERO","TORRES","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_2102ac9cc0d70da93b6e7f66afac011a",1221045,2024-04-05 00:00:00,"CRISTIAN ALEJANDRO","HERNÁNDEZ","SCHMIDT","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_21e9323e8b8e329fddc794d67665cdcd",581681,2024-04-07 00:00:00,"MARCELO PATRICIO","AGUILERA","SOTO","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_2947b94c67db33253ff7cdc4b10d891d",1224483,2024-04-11 00:00:00,"HERNAN","ASTABURUAGA","INOSTROZA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_46afd087671b037a9a60c6358600bcc9",1222113,2024-04-08 00:00:00,"VLADIMIR ALEJANDRO","GONZALEZ","ZULOAGA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_52598b1dcaa7e2493146da4545c55d54",1223081,2024-04-09 00:00:00,"JUAN FRANCISCO","VILCHES","RIQUELME","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_530a804634a9fe18f8cb850cc640daf5",1220636,2024-04-09 00:00:00,"DANIEL ANDRES","BARRIA","NAHUELQUIN","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_5b7ac4e6c58481936f74db977e621c9c",1223855,2024-04-10 00:00:00,"CAMILO DANIEL","CESPEDES","GUTIERREZ ","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_6027cc7e6da12c8a613eea9772aa4b41",1222578,2024-04-08 00:00:00,"JUAN RODRIGO","FUENTES","FERNANDEZ","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_6516c9e551129f8c30437a4e88f3c69a",1223442,2024-04-10 00:00:00,"MÓNICA ELIANA DEL CARMEN","NEIRA","ELGUETA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_68c39293ce4d07f51c5de8d2545be518",1222563,2024-04-09 00:00:00,"MARÍA CAROLINA BLANCA MARINA","CORTI","BADÍA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_6c46fe282f54d730eef123e313f2d67f",1224073,2024-04-10 00:00:00,"JANETT ","FERNANDEZ","PIZARRO","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_7003ef5ccfd6d595306c79d87982fd3d",1223298,2024-04-10 00:00:00,"ANA CAROLINA","SANTIS","GONZÁLEZ","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_75ef954719de336d6c72b756cc52e651",1223651,2024-04-10 00:00:00,"ANDREA ANGELICA","ARAYA","SALAZAR","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_8329e17210c5354a40e2ad5b818afa4c",1223894,2024-04-10 00:00:00,"CRISTIAN AMADOR","PINTO","TORRES","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_86f8d222b0341c2f1164179fb57830b7",1224323,2024-04-11 00:00:00,"ADÁN HUMBERTO","ZAPATA","FIGUEROA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_8970b37b8ce8d4148e3bd7e0e8b637fa",1222857,2024-04-09 00:00:00,"CLAUDIO IVAN","CARCAMO","PAREDES","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_8b893fb104f828da89ad1068376a4a98",1222853,2024-04-09 00:00:00,"LUIS ERNESTO","GARCÍA","FRIZ","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_92f22f8a0cece8d650aa8d3ebfc0ae4c",1223160,2024-04-09 00:00:00,"FERNANDO LUCIANO","VALENZUELA"," ROMERO","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_a624304876b790c692d073cc9c37183d",1222204,2024-04-08 00:00:00,"IGNACIO JAVIER","POZO","PIÑA","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_ae5aa2256b6c5d00994961a52ff0a44e",1223606,2024-04-10 00:00:00,"LUIS EDUARDO","URIBE","CAMPOS","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
"http://datos.cplt.cl/datos/infoprobidad/declaracion_afa1fe9de55aa36fe6b5a0b37176fea0",1224130,2024-04-10 00:00:00,"DANIEL ADOLFO","REYES","MORALES","SERVEL CANDIDATOS A ELECCIONES","PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO)","CANDIDATO A ELECCIONES PRIMARIAS ALCALDE 2024","ALCALDE"
